trial, condition, presented_words, recalled_words
65,fast,"['lady', 'moon', 'door', 'lake', 'desk', 'bull', 'tide', 'fish', 'stew', 'drum', 'hair', 'cola', 'mate', 'film', 'crab']","['fish', 'stew', 'drum', 'hair', 'cola']"
66,fast,"['papa', 'hair', 'mask', 'cake', 'bush', 'belt', 'town', 'desk', 'bell', 'plum', 'cave', 'salt', 'shed', 'peer', 'folk']","['shed', 'peer', 'folk', 'papa', 'hair', 'belt', 'town', 'mask']"
67,fast,"['hawk', 'seat', 'hare', 'cave', 'wind', 'game', 'meat', 'duck', 'deer', 'mask', 'goat', 'coin', 'taco', 'tool', 'corn']","['corn', 'tool', 'hawk', 'seat', 'meat', 'duck', 'deer']"
68,fast,"['hawk', 'bean', 'chin', 'mate', 'moon', 'boot', 'gnat', 'door', 'mist', 'chef', 'diva', 'nerd', 'bear', 'wire', 'isle']","['wire', 'isle', 'hawk', 'bean', 'chin', 'mate', 'moon', 'boot']"
69,fast,"['milk', 'cake', 'meat', 'pita', 'cola', 'soil', 'nerd', 'ring', 'dust', 'shed', 'card', 'ball', 'swan', 'loaf', 'girl']","['girl', 'swan', 'milk', 'bean', 'meat']"
70,fast,"['farm', 'chip', 'bull', 'chin', 'crew', 'wine', 'rice', 'diva', 'rock', 'swan', 'coat', 'shed', 'deer', 'fish', 'loaf']","['farm', 'chip', 'bull', 'chin', 'rice', 'lady']"
71,fast,"['dust', 'path', 'diva', 'tent', 'crow', 'isle', 'peer', 'salt', 'clan', 'cola', 'lark', 'cave', 'film', 'boot', 'farm']","['dust', 'isle', 'peer', 'cola', 'farm']"
72,fast,"['ball', 'corn', 'mist', 'wall', 'cave', 'cake', 'nose', 'boot', 'drum', 'hand', 'bowl', 'peer', 'bell', 'wrap', 'team']","['corn', 'mist', 'bread', 'ball', 'team', 'bell', 'wrap']"
73,fast,"['toad', 'clip', 'card', 'wife', 'lion', 'hill', 'snow', 'hero', 'pond', 'crow', 'bush', 'barn', 'coin', 'soil', 'fern']","['toad', 'clip', 'farm', 'boil']"
74,fast,"['belt', 'roll', 'diva', 'film', 'boot', 'calf', 'dock', 'nail', 'carp', 'cart', 'note', 'beer', 'kite', 'seat', 'bean']","['seat', 'bean', 'belt', 'beer', 'nose']"
75,fast,"['yard', 'beef', 'boot', 'boar', 'hawk', 'salt', 'nose', 'game', 'boss', 'nerd', 'wine', 'seal', 'tuna', 'crew', 'isle']","['wine', 'seal', 'tuna', 'isle', 'yard', 'beef', 'boot']"
76,fast,"['coat', 'tide', 'corn', 'papa', 'taco', 'gang', 'clan', 'mask', 'guru', 'farm', 'lips', 'wine', 'crab', 'diva', 'port']","['wine', 'crab', 'diva', 'port']"
77,fast,"['baby', 'soda', 'fern', 'shop', 'ball', 'fish', 'loaf', 'rice', 'twin', 'folk', 'fire', 'head', 'beer', 'chef', 'guru']","['baby', 'soda', 'fern', 'shop', 'bean', 'chef', 'guru']"
78,fast,"['star', 'milk', 'mule', 'mist', 'bell', 'bean', 'tool', 'wife', 'face', 'boar', 'toad', 'calf', 'diva', 'gnat', 'chef']","['chef', 'gnat', 'star', 'milk', 'mule']"
79,fast,"['port', 'rain', 'nose', 'bull', 'clip', 'twin', 'cake', 'coin', 'lake', 'bike', 'moon', 'wave', 'crab', 'book', 'mist']","['port', 'milk', 'nose', 'rain', 'mule', 'mist', 'crab', 'bull']"
80,math,"['dove', 'clan', 'head', 'lady', 'mine', 'bike', 'cart', 'ring', 'mama', 'stew', 'salt', 'girl', 'farm', 'gnat', 'papa']","['stew', 'girl', 'papa', 'salt', 'farm', 'dove', 'ring']"
81,math,"['mama', 'sock', 'cart', 'cola', 'girl', 'fern', 'note', 'drum', 'goat', 'city', 'wire', 'seal', 'lock', 'shop', 'frog']","['seal', 'wire', 'city', 'girl', 'mama', 'cola', 'sock']"
82,math,"['tide', 'moon', 'rice', 'door', 'hawk', 'belt', 'sofa', 'roll', 'brat', 'barn', 'king', 'hero', 'mama', 'taco', 'meat']","['door', 'sofa', 'roll', 'bird', 'hero', 'mama', 'brat', 'taco', 'king', 'meat']"
83,math,"['shop', 'neck', 'wire', 'clam', 'flag', 'pear', 'fork', 'dust', 'town', 'bowl', 'milk', 'roof', 'desk', 'nail', 'stew']","['stew', 'bowl', 'town', 'wire', 'milk', 'roof', 'dust']"
84,math,"['peer', 'wolf', 'sand', 'stew', 'yard', 'chef', 'pony', 'bean', 'hero', 'rock', 'sofa', 'dock', 'meat', 'corn', 'toad']","['corn', 'toad', 'meat', 'chef', 'rock', 'wolf', 'sand', 'bean', 'ride']"
85,math,"['head', 'snow', 'bull', 'mama', 'skin', 'deer', 'roll', 'land', 'crab', 'fish', 'goat', 'beer', 'coat', 'crow', 'farm']","['head', 'mama', 'farm', 'fish', 'goat', 'deer', 'coat']"
86,math,"['gang', 'game', 'wire', 'note', 'folk', 'seat', 'mate', 'ring', 'duck', 'mama', 'bean', 'ball', 'roll', 'clip', 'lamp']","['note', 'ring', 'mama', 'game', 'duck', 'lamp', 'mate']"
87,math,"['lady', 'hare', 'crew', 'goat', 'wife', 'mate', 'bell', 'wood', 'fork', 'dock', 'chin', 'city', 'lamb', 'nose', 'star']","['lady', 'goat', 'wife', 'nose', 'star', 'bell', 'mate']"
88,math,"['book', 'tree', 'park', 'back', 'loaf', 'yard', 'mine', 'frog', 'note', 'shed', 'maid', 'hero', 'lamp', 'soil', 'drum']","['book', 'yard', 'frog', 'hero', 'lamp', 'drum']"
89,math,"['rope', 'mall', 'worm', 'carp', 'pita', 'book', 'bell', 'nerd', 'ring', 'wire', 'sock', 'vest', 'fern', 'seal', 'town']","['rope', 'book', 'bell', 'ring', 'seal', 'town', 'worm', 'fern']"
90,math,"['lark', 'sand', 'peer', 'mask', 'deer', 'soup', 'milk', 'tide', 'meat', 'isle', 'belt', 'hawk', 'note', 'roof', 'pony']","['lark', 'deer', 'soup', 'milk', 'tide', 'pony', 'meat']"
91,math,"['folk', 'coin', 'yard', 'land', 'boss', 'twin', 'dune', 'mama', 'game', 'pony', 'mall', 'park', 'dock', 'town', 'lake']","['folk', 'land', 'mama', 'game', 'twin', 'town', 'lake']"
92,math,"['soup', 'gang', 'beer', 'coin', 'aunt', 'hair', 'toad', 'door', 'tree', 'belt', 'vest', 'taco', 'fire', 'pipe', 'dust']","['soup', 'coin', 'door', 'taco', 'fire', 'dust', 'tree']"
93,math,"['stew', 'worm', 'mate', 'rice', 'seal', 'mole', 'clan', 'chin', 'foot', 'twin', 'rope', 'calf', 'hero', 'soup', 'fire']","['stew', 'seal', 'twin', 'rope', 'hero', 'soup', 'fire']"
94,math,"['fork', 'dude', 'ball', 'pony', 'face', 'hand', 'lips', 'nose', 'dune', 'diva', 'girl', 'fern', 'city', 'nerd', 'game']","['ball', 'face', 'girl', 'game', 'nose', 'pony', 'fern']"
95,math,"['back', 'mist', 'peer', 'brat', 'shoe', 'frog', 'beef', 'bull', 'peak', 'stew', 'hand', 'coin', 'salt', 'tool', 'diva']","['mist', 'stew', 'hand', 'salt', 'coin', 'frog', 'beef']"
96,math,"['card', 'park', 'note', 'rain', 'chef', 'peak', 'lake', 'fork', 'city', 'wind', 'shoe', 'mask', 'lamp', 'flag', 'loaf']","['card', 'rain', 'fork', 'lamp', 'lake', 'mask', 'flag']"
97,math,"['clip', 'bear', 'roll', 'peer', 'roof', 'soda', 'wrap', 'twin', 'nose', 'neck', 'nail', 'hare', 'tool', 'mall', 'dove']","['bear', 'roll', 'roof', 'wrap', 'nose', 'dove', 'twin']"
98,math,"['pony', 'yard', 'coin', 'gnat', 'lake', 'hand', 'door', 'cola', 'cart', 'foot', 'kite', 'beer', 'clam', 'tree', 'sofa']","['pony', 'coin', 'door', 'lake', 'foot', 'tree', 'sofa']"
99,math,"['deer', 'rice', 'taco', 'goat', 'nose', 'wire', 'back', 'snow', 'dove', 'tide', 'rock', 'soil', 'fern', 'fish', 'skin']","['deer', 'goat', 'tide', 'rock', 'fish', 'nose', 'dove', 'rice']"
100,break,"['ball', 'bull', 'pals', 'loaf', 'deer', 'cart', 'isle', 'mall', 'shoe', 'game', 'card', 'soda', 'papa', 'gnat', 'seat']","['gnat', 'seat', 'papa', 'soda', 'bull', 'mall', 'ball']"
101,break,"['back', 'chip', 'roof', 'meat', 'kite', 'hand', 'wolf', 'fork', 'mist', 'diva', 'papa', 'note', 'coin', 'baby', 'peer']","['baby', 'peer', 'papa', 'coin', 'wolf', 'mist']"
102,break,"['port', 'beef', 'gnat', 'boar', 'mist', 'shop', 'chip', 'star', 'farm', 'papa', 'dust', 'dune', 'reef', 'park', 'dove']","['dove', 'reef', 'park', 'bird', 'dune', 'papa', 'farm', 'dust']"
103,break,"['pita', 'desk', 'baby', 'fire', 'seat', 'coat', 'clan', 'tree', 'toad', 'salt', 'note', 'path', 'goat', 'door', 'fish']","['goat', 'path', 'door', 'fish', 'coat', 'clan', 'tree']"
104,break,"['lord', 'rain', 'soil', 'mist', 'shed', 'mole', 'pipe', 'tide', 'salt', 'tuna', 'fire', 'boar', 'loaf', 'chef', 'bike']","['rain', 'soil', 'tide', 'salt', 'fire', 'loaf', 'chef', 'bike']"
105,break,"['girl', 'nerd', 'head', 'coin', 'gnat', 'frog', 'bull', 'dude', 'diva', 'game', 'gang', 'wave', 'guru', 'skin', 'dune']","['girl', 'head', 'frog', 'game', 'wave', 'dune']"
106,break,"['ring', 'toad', 'clam', 'boot', 'barn', 'isle', 'fish', 'rock', 'gulf', 'land', 'dove', 'boss', 'reef', 'belt', 'tree']","['ring', 'toad', 'fish', 'rock', 'dove', 'reef', 'tree']"
107,break,"['mall', 'pita', 'snow', 'papa', 'crab', 'chef', 'yard', 'wall', 'hand', 'bell', 'path', 'tent', 'team', 'fern', 'mama']","['snow', 'papa', 'crab', 'chef', 'bell', 'mama']"
108,break,"['papa', 'mall', 'wind', 'isle', 'mate', 'ring', 'hare', 'boot', 'tool', 'yard', 'clip', 'wall', 'lark', 'pals', 'hand']","['papa', 'ring', 'boot', 'yard', 'mall', 'hand', 'isle', 'mate']"
109,break,"['pals', 'rain', 'lion', 'aunt', 'bike', 'milk', 'diva', 'taco', 'back', 'isle', 'rope', 'roof', 'mole', 'peer', 'tuna']","['rain', 'milk', 'taco', 'isle', 'roof', 'tuna', 'mole']"
110,break,"['lips', 'mule', 'beer', 'aunt', 'gang', 'cave', 'lamb', 'lamp', 'port', 'twin', 'pear', 'game', 'shoe', 'boss', 'cart']","['mule', 'beer', 'lamp', 'twin', 'pear', 'game', 'boss', 'cart']"
111,break,"['mine', 'hill', 'sofa', 'cola', 'pipe', 'mask', 'roll', 'deer', 'isle', 'fork', 'nose', 'lips', 'kite', 'desk', 'yard']","['hill', 'pipe', 'deer', 'nose', 'lips', 'yard']"
112,break,"['deer', 'city', 'tool', 'seal', 'wall', 'bike', 'worm', 'carp', 'papa', 'peak', 'chip', 'head', 'lion', 'cola', 'mate']","['deer', 'seal', 'papa', 'head', 'lion', 'mate', 'wall']"
113,break,"['clam', 'town', 'wind', 'barn', 'rock', 'tree', 'mole', 'lock', 'bush', 'beef', 'deer', 'mine', 'lark', 'wood', 'frog']","['town', 'rock', 'deer', 'mine', 'frog', 'barn', 'wind', 'tree']"
114,break,"['nail', 'cave', 'bear', 'chef', 'twin', 'roll', 'foot', 'city', 'dock', 'bowl', 'coin', 'skin', 'pear', 'baby', 'mate']","['nail', 'bear', 'chef', 'twin', 'coin', 'pear']"
115,break,"['note', 'reef', 'fork', 'milk', 'head', 'city', 'stew', 'wrap', 'gang', 'barn', 'boss', 'lord', 'bull', 'pear', 'roof']","['note', 'milk', 'head', 'stew', 'pear', 'roof', 'bull']"
116,break,"['fern', 'team', 'lamp', 'rice', 'neck', 'lion', 'reef', 'moon', 'bike', 'ring', 'road', 'frog', 'bell', 'coin', 'milk']","['lamp', 'lion', 'reef', 'moon', 'ring', 'frog', 'bell', 'milk']"
117,break,"['mall', 'star', 'meat', 'nail', 'bush', 'hero', 'boot', 'door', 'corn', 'pear', 'bell', 'lamb', 'crow', 'roof', 'team']","['star', 'hero', 'boot', 'door', 'bell', 'roof']"
118,break,"['hair', 'gnat', 'toad', 'hero', 'diva', 'bush', 'note', 'kite', 'tree', 'rock', 'book', 'cart', 'carp', 'frog', 'park']","['toad', 'hero', 'note', 'tree', 'rock', 'frog', 'park']"
119,break,"['pear', 'foot', 'toad', 'nail', 'tent', 'film', 'folk', 'boar', 'crab', 'maid', 'chin', 'cart', 'dust', 'brat', 'dove']","['foot', 'toad', 'film', 'crab', 'maid', 'dove', 'nail', 'tent']"
120,math,"['hand', 'mule', 'crew', 'soup', 'roll', 'rain', 'wolf', 'mine', 'sock', 'crab', 'frog', 'fire', 'shed', 'coat', 'plum']","['mine', 'wolf', 'frog', 'fire', 'plum', 'shed', 'coat']"
121,math,"['lion', 'lock', 'bowl', 'coin', 'wall', 'crow', 'fern', 'bike', 'fork', 'peak', 'loaf', 'team', 'bull', 'head', 'beer']","['lion', 'lock', 'bowl', 'coin', 'wall', 'crow', 'bull', 'bike']"
122,math,"['neck', 'kite', 'wrap', 'coat', 'roof', 'chin', 'diva', 'bell', 'tuna', 'sofa', 'mask', 'meat', 'team', 'dune', 'chip']","['kite', 'neck', 'coat', 'roof', 'diva', 'sofa', 'meat', 'crew', 'chip']"
123,math,"['shoe', 'wind', 'city', 'neck', 'drum', 'lamb', 'snow', 'swan', 'duck', 'tool', 'loaf', 'crab', 'hair', 'head', 'soda']","['city', 'shoe', 'wind', 'snow', 'lamb', 'goat']"
124,math,"['peer', 'king', 'wine', 'cart', 'rock', 'city', 'hair', 'salt', 'baby', 'barn', 'lips', 'rain', 'bike', 'cake', 'hawk']","['king', 'city', 'cart', 'rock', 'hair']"
125,math,"['fork', 'lamb', 'belt', 'folk', 'hand', 'cart', 'goat', 'clip', 'sofa', 'desk', 'bull', 'lord', 'wood', 'chip', 'rope']","['sofa', 'chip', 'chip', 'goat', 'bull']"
126,math,"['mule', 'fork', 'head', 'guru', 'sock', 'hill', 'port', 'land', 'door', 'wave', 'dock', 'worm', 'stew', 'wolf', 'clam']","['fork', 'guru', 'sock', 'land', 'hill', 'port', 'worm', 'wolf', 'stew']"
