trial,condition,presented_words,recalled_words
200,normal,"['mall', 'door', 'pals', 'back', 'ring', 'sand', 'lake', 'lion', 'corn', 'tree', 'foot', 'kite', 'wine', 'dove', 'vest']","['mall', 'door', 'ring', 'kite']"
201,normal,"['town', 'soda', 'mate', 'clam', 'goat', 'drum', 'gulf', 'yard', 'wine', 'coin', 'gnat', 'hill', 'rock', 'back', 'lake']","['town', 'surm', 'mate', 'clam', 'gulf', 'yard']"
202,fast,"['wood', 'mule', 'roll', 'coat', 'tool', 'star', 'guru', 'path', 'reef', 'crab', 'snow', 'tide', 'mole', 'lamp', 'hare']","['hare', 'mmole', 'guru', 'gold', 'cart']"
203,fast,"['chin', 'crew', 'belt', 'soda', 'girl', 'roll', 'reef', 'seal', 'twin', 'taco', 'book', 'door', 'goat', 'lord', 'shed']","['tin crew gold door golf seal yard', 'mule']"
204,fast,"['mist', 'wall', 'town', 'hero', 'girl', 'coin', 'cola', 'mask', 'roof', 'chin', 'lady', 'lock', 'mule', 'belt', 'pals']","['mist', 'town', 'wall', 'hero', 'gold', 'cart', 'chin']"
205,fast,"['pony', 'star', 'lion', 'lake', 'land', 'ring', 'wind', 'crab', 'port', 'lark', 'wrap', 'team', 'goat', 'clam', 'isle']","['pony', 'star', 'lion', 'lake', 'clam', 'team', 'gold']"
206,fast,"['wine', 'back', 'hawk', 'cave', 'face', 'kite', 'lamp', 'lady', 'wife', 'bush', 'wave', 'roof', 'bowl', 'boar', 'shed']","['wine', 'cave', 'face', 'lamb', 'kite', 'boar', 'shed']"
207,fast,"['corn', 'crow', 'shed', 'goat', 'seal', 'chip', 'chin', 'girl', 'bell', 'head', 'folk', 'note', 'hand', 'kite', 'cart']","['corn', 'crow', 'seal', 'chip', 'fork', 'card']"
208,fast,"['tent', 'rock', 'frog', 'face', 'fork', 'vest', 'flag', 'hero', 'stew', 'cola', 'card', 'sofa', 'nerd', 'snow', 'milk']","['tent', 'card', 'face', 'soda', 'coin', 'gold']"
209,fast,"['chin', 'meat', 'hero', 'clip', 'papa', 'back', 'skin', 'twin', 'pipe', 'chef', 'wood', 'mask', 'wire', 'yard', 'dove']","['chin', 'clip', 'hero', 'meat', 'papa', 'back', 'wolf', 'skin']"
210,fast,"['pond', 'head', 'skin', 'nerd', 'salt', 'seal', 'cave', 'hawk', 'king', 'bean', 'shop', 'ball', 'fern', 'chip', 'moon']","['pond', 'head', 'moon', 'chip', 'fern', 'seal', 'star']"
211,fast,"['coin', 'calf', 'guru', 'mask', 'papa', 'chip', 'mole', 'pear', 'carp', 'mall', 'wall', 'plum', 'skin', 'card', 'beer']","['card', 'beer', 'coin', 'mask', 'chip', 'gold', 'mall', 'wall', 'gulf']"
212,fast,"['gnat', 'dove', 'corn', 'fire', 'wood', 'loaf', 'bear', 'chef', 'king', 'gulf', 'peer', 'nerd', 'isle', 'crab', 'papa']","['gnat', 'dove', 'gold', 'coin', 'wire', 'card', 'gulf']"
213,fast,"['face', 'fire', 'swan', 'wolf', 'wave', 'duck', 'calf', 'king', 'port', 'hare', 'diva', 'path', 'isle', 'mule', 'chip']","['face', 'coin', 'wolf', 'isle', 'mule', 'card', 'king']"
214,fast,"['deer', 'rock', 'barn', 'dust', 'swan', 'wood', 'wall', 'fire', 'roll', 'brat', 'girl', 'clam', 'dune', 'neck', 'chip']","['deer', 'rock', 'barn', 'dust', 'swan', 'roll', 'clam']"
215,fast,"['chef', 'bull', 'rope', 'frog', 'city', 'neck', 'farm', 'mine', 'soil', 'film', 'path', 'tool', 'card', 'lady', 'nail']","['nail', 'chef', 'rock', 'boil', 'farm']"
216,fast,"['sock', 'wire', 'mate', 'barn', 'toad', 'note', 'gang', 'dust', 'road', 'peer', 'bull', 'town', 'shoe', 'wave', 'lamp']","['bool', 'tool', 'lamp', 'suck', 'mire', 'clam', 'road']"
